,Rank_BX,Year,Title,Worldwide Box Office_BX,Domestic Box Office_BX,International Box Office_BX,Rank_MOJO,Lifetime Gross_MOJO,Max Theaters,Opening Box,Opening Th,Release Date,Distributor,User Rating_IMDB,Metacritic,Number of Votes,Running Time,Release Date_IMDB,Director,User Rating-TD,Year_TD,Category
658,,,Human Instinct,,,,,,,,,,,,,,,,,7.22,2002,Science
659,,,Stress: Portrait of a Killer,,,,,,,,,,,,,,,,,8.01,2008,Science
660,,,Darwin's Struggle: The Evolution of the Origin of Species,,,,,,,,,,,,,,,,,6.78,2009,Science
661,,,Through the Wormhole: Is there Life after Death?,,,,,,,,,,,,,,,,,7.75,2011,Science
662,,,Darwin's Dangerous Idea,,,,,,,,,,,,,,,,,7.24,2010,Science
663,,,Wonders of the Universe,,,,,,,,,,,,,,,,,8.04,2011,Science
664,,,Aristotle's Lagoon,,,,,,,,,,,,,,,,,8.36,2010,Science
665,,,Everything and Nothing,,,,,,,,,,,,,,,,,8.30,2011,Science
666,,,Genius of Pythagoras,,,,,,,,,,,,,,,,,7.06,1996,Science
667,,,What Happened Before the Big Bang?,,,,,,,,,,,,,,,,,5.38,2010,Science
668,,,What Makes a Genius?,,,,,,,,,,,,,,,,,7.52,2011,Science
669,,,Don't Grow Old,,,,,,,,,,,,,,,,,7.52,2010,Science
670,,,The Ascent of Man,,,,,,,,,,,,,,,,,7.63,1973,Science
671,,,Discovering Ardi (Ardipithecus Ramidus),,,,,,,,,,,,,,,,,7.25,,Science
672,,,When We Left Earth: The NASA Missions,,,,,,,,,,,,,,,,,9.06,2008,Science
673,,,The Secret World of Pain,,,,,,,,,,,,,,,,,8.10,2011,Science
674,,,To Infinity and Beyond,,,,,,,,,,,,,,,,,7.98,2010,Science
675,,,Do We Really Need the Moon?,,,,,,,,,,,,,,,,,7.69,2011,Science
676,,,The Brain: Our Universe Within,,,,,,,,,,,,,,,,,6.35,1994,Science
677,,,DNA: The Secret of Life,,,,,,,,,,,,,,,,,7.36,2003,Science
678,,,The Shape of Life,,,,,,,,,,,,,,,,,8.06,2001,Science
679,342,2002,The Human Body,"$1,161,866",,"$1,161,866",,,,,,,,,,,,,,7.26,1998,Science
680,,,What Is Reality?,,,,,,,,,,,,,,,,,8.47,2011,Science
681,,,The Story of One,,,,,,,,,,,,,,,,,7.15,,Science
682,,,Living on Mars,,,,,,,,,,,,,,,,,7.44,,Science
683,,,Adventures In Human Evolution,,,,,,,,,,,,,,,,,6.37,2000,Science
684,,,Universe: The Cosmology Quest,,,,,,,,,,,,,,,,,6.92,2004,Science
685,,,Earth 2100: The Final Century of Civilization?,,,,,,,,,,,,,,,,,7.65,2009,Science
686,,,The End of God?: A Horizon Guide to Science and Religion,,,,,,,,,,,,,,,,,6.16,2010,Science
687,,,Fractals: Hunting the Hidden Dimension,,,,,,,,,,,,,,,,,8.78,2008,Science
688,,,Is Seeing Believing?,,,,,,,,,,,,,,,,,6.80,,Science
689,,,Cloning the First Human,,,,,,,,,,,,,,,,,5.36,,Science
690,,,The Death of the Oceans,,,,,,,,,,,,,,,,,8.10,2010,Science
691,,,Extreme Archaeology,,,,,,,,,,,,,,,,,6.80,2004,Science
692,,,Dimensions: A Walk Through Mathematics,,,,,,,,,,,,,,,,,8.13,2011,Science
693,,,Nice Guys Finish First,,,,,,,,,,,,,,,,,8.18,1986,Science
694,,,Richard Feynman: Fun to Imagine,,,,,,,,,,,,,,,,,9.22,1983,Science
695,,,Did Cooking Make Us Human?,,,,,,,,,,,,,,,,,7.07,2010,Science
696,,,Why Do Viruses Kill?,,,,,,,,,,,,,,,,,7.70,2010,Science
697,,,BrainSex: Why We Fall in Love?,,,,,,,,,,,,,,,,,6.36,2010,Science
698,,,Evolutions,,,,,,,,,,,,,,,,,7.50,,Science
699,,,Galapagos: Beyond Darwin,,,,,,,,,,,,,,,,,7.97,1996,Science
700,,,Miracle Planet,,,,,,,,,,,,,,,,,8.72,2005,Science
701,,,Journey of Man: A Genetic Odyssey,,,,,,,,,,,,,,,,,7.19,2003,Science
702,,,What Really Killed the Dinosaurs?,,,,,,,,,,,,,,,,,7.02,,Science
703,,,Birth of the Earth,,,,,,,,,,,,,,,,,8.18,2004,Science
704,,,How the Universe Works,,,,,,,,,,,8.9,,"5,505",1h,TV Series (2010– ),Phil Plait,8.43,2010,Science
705,,,For All Mankind,,,,259,"$770,132",9,"$33,777",6,"Nov 1, 1989",Apollo Associates,,,,,,,8.67,1989,Science
706,,,What Darwin Never Knew,,,,,,,,,,,,,,,,,8.34,2009,Science
707,,,Becoming Human,,,,,,,,,,,,,,,,,7.41,2009,Science
708,,,Human Ape,,,,,,,,,,,,,,,,,8.27,,Science
709,,,The Universe,,,,,,,,,,,8.8,,"4,986",45min,TV Series (2007– ),Erik Thompson,7.44,2007,Science
710,,,Inside Planet Earth,,,,,,,,,,,,,,,,,8.36,,Science
711,,,Through the Wormhole,,,,,,,,,,,8.6,,"16,579",1h,TV Series (2010–2017),Morgan Freeman,8.58,2010,Science
712,,,"Journey to 10,000 BC",,,,,,,,,,,,,,,,,8.00,2008,Science
713,,,What Happened Before the Beginning?,,,,,,,,,,,,,,,,,8.67,2010,Science
714,,,The Search for Adam,,,,,,,,,,,,,,,,,7.50,,Science
715,,,Through The Wormhole: Is Time Travel Possible?,,,,,,,,,,,,,,,,,8.60,2010,Science
716,,,Ice Age Columbus: Who Were the First Americans?,,,,,,,,,,,,,,,,,7.78,2005,Science
717,,,Through the Wormhole: The Riddle of Black Holes,,,,,,,,,,,,,,,,,8.14,2010,Science
718,,,The Human Family Tree,,,,,,,,,,,,,,,,,7.53,2009,Science
719,,,Through The Wormhole: Is There A Creator?,,,,,,,,,,,,,,,,,8.18,,Science
720,,,The Incredible Human Journey,,,,,,,,,,,,,,,,,7.62,2009,Science
721,,,The Mystery of the Human Hobbit,,,,,,,,,,,,,,,,,6.00,2009,Science
722,,,Cosmic Journeys,,,,,,,,,,,,,,,,,7.80,2011,Science
723,,,"The Story of Science: Power, Proof and Passion",,,,,,,,,,,,,,,,,8.16,2010,Science
724,,,Alien Planet,,,,,,,,,,,,,,,,,7.77,2005,Science
725,,,Into The Universe With Stephen Hawking,,,,,,,,,,,,,,,,,8.58,2010,Science
726,,,The Brain,,,,,,,,,,,,,,,,,4.71,2009,Science
727,,,Is Everything We Know About The Universe Wrong?,,,,,,,,,,,,,,,,,7.86,2010,Science
728,,,James Burke: The Day The Universe Changed,,,,,,,,,,,,,,,,,7.64,1985,Science
729,,,What Makes Us Human?,,,,,,,,,,,,,,,,,4.94,2012,Science
730,,,The Real Eve,,,,,,,,,,,,,,,,,6.43,2002,Science
731,,,Journey to the Edge of the Universe,,,,,,,,,,,,,,,,,8.18,2008,Science
732,,,The Genius of Charles Darwin,,,,,,,,,,,,,,,,,8.28,,Science
733,,,The Big Bang Machine,,,,,,,,,,,,,,,,,7.75,2008,Science
734,,,The Universe: Beyond The Big Bang,,,,,,,,,,,,,,,,,7.40,2007,Science
735,,,Battle of the Brains,,,,,,,,,,,,,,,,,7.97,2007,Science
736,,,End Day,,,,,,,,,,,,,,,,,5.95,,Science
737,,,100 Greatest Discoveries,,,,,,,,,,,,,,,,,7.29,2004,Science
738,,,Ötzi: The Iceman Murder,,,,,,,,,,,,,,,,,7.93,2011,Science
739,,,Brain Story,,,,,,,,,,,,,,,,,7.84,2000,Science
740,,,"Lost Worlds, Vanished Lives",,,,,,,,,,,,,,,,,7.82,1989,Science
741,,,Evolution,,,,,,,,,,,,,,,,,7.12,2001,Science
742,,,Human Body: Pushing The Limits,,,,,,,,,,,,,,,,,6.52,2008,Science
743,,,DNA: The Molecule of Life,,,,,,,,,,,,,,,,,6.43,,Science
744,,,Charles Darwin and the Tree of Life,,,,,,,,,,,,,,,,,8.20,2009,Science
745,,,The Day I Died,,,,,,,,,,,,,,,,,7.92,2002,Science
746,,,Human Cloning,,,,,,,,,,,,,,,,,5.93,,Science
747,,,Why Do We Talk?,,,,,,,,,,,,,,,,,7.85,,Science
748,,,Chemistry: A Volatile History,,,,,,,,,,,,,,,,,6.87,,Science
749,,,Did Darwin Kill God?,,,,,,,,,,,,,,,,,7.08,2009,Science
750,,,How Long is a Piece of String?,,,,,,,,,,,,,,,,,6.86,2009,Science
751,,,Fractals: The Colors of Infinity,,,,,,,,,,,,,,,,,8.97,1994,Science
752,,,The Cell,,,,,,,,,,,,,,,,,8.03,,Science
753,,,Richard Feynman: The Pleasure of Finding Things Out,,,,,,,,,,,,,,,,,8.62,1981,Science
754,,,The Secret Life of Chaos,,,,,,,,,,,,,,,,,8.12,2010,Science
755,,,The Mystery of the Jurassic,,,,,,,,,,,,,,,,,7.44,2002,Science
756,,,The Real Neanderthal Man,,,,,,,,,,,,,,,,,7.88,,Science
757,,,Secrets of the Mind,,,,,,,,,,,,,,,,,5.92,2001,Science
758,,,How to Live to 101,,,,,,,,,,,,,,,,,8.38,2008,Science
759,,,"Mars, Dead or Alive",,,,,,,,,,,,,,,,,8.63,2004,Science
760,,,The Day the Earth Nearly Died,,,,,,,,,,,,,,,,,8.19,2002,Science
761,,,If We Had No Moon,,,,,,,,,,,,,,,,,6.35,1999,Science
762,,,The Ape That Took Over The World,,,,,,,,,,,,,,,,,7.51,2001,Science
763,,,A War on Science,,,,,,,,,,,,,,,,,7.80,2006,Science
764,,,Why Are We Here?,,,,,,,,,,,,,,,,,6.76,,Science
765,,,How Did Life Begin?,,,,,,,,,,,,,,,,,7.35,,Science
766,,,Supermassive Black Holes,,,,,,,,,,,,,,,,,8.39,2000,Science
767,,,A Universe From Nothing (Lecture),,,,,,,,,,,,,,,,,8.56,2009,Science
768,,,Are We Alone in the Universe?,,,,,,,,,,,,,,,,,5.81,,Science
769,,,Magnetic Storm,,,,,,,,,,,,,,,,,7.42,,Science
770,,,Monster of The Milky Way,,,,,,,,,,,,,,,,,7.65,2007,Science
771,,,Human Evolution: Clash of The Cavemen,,,,,,,,,,,,,,,,,6.11,2008,Science
772,,,The Ghost in our Genes,,,,,,,,,,,,,,,,,7.16,2007,Science
773,,,Absolute Zero,,,,,,,,,,,,,,,,,8.89,2008,Science
774,,,God on the Brain,,,,,,,,,,,,,,,,,7.50,,Science
775,,,Einstein's Unfinished Symphony,,,,,,,,,,,,,,,,,7.45,,Science
776,,,What on Earth is Wrong With Gravity?,,,,,,,,,,,,,,,,,5.82,2008,Science
777,,,Most of the Universe is Missing,,,,,,,,,,,,,,,,,8.30,2006,Science
778,,,A Brief History of Time,,,,123,"$2,279,692",45,"$84,025",5,"Aug 21, 1992",Triton Pictures,7.3,78.0,"5,128",1h 20min,16 October 1992 (Australia),Errol Morris,6.44,1991,Science
779,,,Phages: The Virus that Cures,,,,,,,,,,,,,,,,,7.82,,Science
780,,,How Does Your Memory Work?,,,,,,,,,,,,,,,,,6.50,2008,Science
781,,,Visions of the Future,,,,,,,,,,,,,,,,,7.80,,Science
782,,,Fermat's Last Theorem,,,,,,,,,,,,,,,,,7.68,1995,Science
783,,,Science and Islam,,,,,,,,,,,,,,,,,7.20,,Science
784,,,The Story of Maths,,,,,,,,,,,,,,,,,7.71,2008,Science
785,,,Thunderbolts of the Gods,,,,,,,,,,,,,,,,,7.13,,Science
786,,,Future Life on Earth,,,,,,,,,,,,,,,,,7.39,2008,Science
787,,,Einstein and E=mc^2,,,,,,,,,,,,,,,,,7.67,2005,Science
788,,,The Sun,,,,,,,,,,,,,,,,,5.13,2007,Science
789,,,Newton: The Dark Heretic,,,,,,,,,,,,,,,,,8.00,,Science
790,,,Stephen Hawking: Master of the Universe,,,,,,,,,,,,,,,,,7.93,2008,Science
791,,,Einstein's Equation Of Life and Death,,,,,,,,,,,,,,,,,7.52,2005,Science
792,,,Ape to Man,,,,,,,,,,,,,,,,,8.44,2005,Science
793,,,Six Degrees of Separation,,,,,,,,,,,,,,,,,8.10,2009,Science
794,,,Light Fantastic,,,,,,,,,,,,,,,,,8.05,2004,Science
795,,,The Big Bang,,,,,,,,,,,,,,,,,6.67,,Science
796,,,Supernatural Science: Previous Lives,,,,,,,,,,,,,,,,,6.08,1999,Science
797,,,Parallel Universes,,,,,,,,,,,,,,,,,7.51,2002,Science
798,,,ATOM,,,,,,,,,,,,,,,,,8.90,,Science
799,,,Free Energy: The Race to Zero Point,,,,,,,,,,,,,,,,,7.02,,Science
800,,,Time,,,,,,,,,,,6.9,,46,1h 21min,16 October 2020 (USA),Garrett Bradley,7.97,,Science
801,,,Origins And Evolution,,,,,,,,,,,,,,,,,7.23,2004,Science
802,,,Scientific Verification of Vedic Knowledge,,,,,,,,,,,,,,,,,7.22,,Science
803,,,Dangerous Knowledge,,,,,,,,,,,,,,,,,8.60,2007,Science
804,,,Pale Blue Dot: Wanderers,,,,,,,,,,,,,,,,,8.96,2007,Science
805,,,Natural Mystery,,,,,,,,,,,,,,,,,7.54,2001,Science
806,,,The Primacy of Consciousness,,,,,,,,,,,,,,,,,8.19,,Science
807,,,Lost Lightning: The Missing Secrets of Nikola Tesla,,,,,,,,,,,,,,,,,8.13,1998,Science
808,,,In the Womb: Multiples,,,,,,,,,,,,,,,,,6.33,2007,Science
809,,,Walking With Dinosaurs,,,,,,,,,,,,,,,,,7.78,1999,Science
810,,,From the Earth to the Moon,,,,,,,,,,,,,,,,,7.88,1998,Science
811,,,Nova: Origins,,,,,,,,,,,,,,,,,7.26,2004,Science
812,,,The Elegant Universe,,,,,,,,,,,,,,,,,8.00,2003,Science
813,,,Cosmos: A Personal Voyage,,,,,,,,,,,,,,,,,8.59,1980,Science
814,,,Cosmic Voyage,,,,,,,,,,,,,,,,,8.16,,Science
815,,,The Dead Sea Scrolls,,,,,,,,,,,,,,,,,5.63,2019,Religion
816,,,The Church: Code of Silence,,,,,,,,,,,,,,,,,8.33,2017,Religion
817,,,Jesus' Female Disciples: The New Evidence,,,,,,,,,,,,,,,,,5.11,2018,Religion
818,,,The Angel Chronicles,,,,,,,,,,,,,,,,,3.44,2014,Religion
819,,,The Exodus Decoded,,,,,,,,,,,,,,,,,5.30,2006,Religion
820,,,Iron Kingdom,,,,,,,,,,,,,,,,,7.38,2018,Religion
821,,,The Real Jesus Christ,,,,,,,,,,,,,,,,,5.47,1999,Religion
822,,,Exorcisms: The Battle for Young Minds,,,,,,,,,,,,,,,,,6.04,2018,Religion
823,,,Islamophobia Inc.,,,,,,,,,,,,,,,,,2.50,2018,Religion
824,,,Rajneeshpuram,,,,,,,,,,,,,,,,,7.00,2018,Religion
825,,,Rise and Decline of Science in Islam,,,,,,,,,,,,,,,,,7.28,2017,Religion
826,,,Children of Abraham,,,,,,,,,,,,,,,,,5.93,2004,Religion
827,,,The Theft of Our Values,,,,,,,,,,,,,,,,,6.68,2017,Religion
828,,,Leaving God,,,,,,,,,,,,,,,,,7.26,2017,Religion
829,,,Jihad: A Story of the Others,,,,,,,,,,,,,,,,,8.60,2016,Religion
830,,,What Is Wrong With Islam Today? (Debate),,,,,,,,,,,,,,,,,6.61,2016,Religion
831,,,The Jihadist Next Door,,,,,,,,,,,,,,,,,6.96,2016,Religion
832,,,The Real Enemy,,,,,,,,,,,,,,,,,5.48,2015,Religion
833,,,History of Islam,,,,,,,,,,,,,,,,,5.43,2015,Religion
834,,,God and the Scientists,,,,,,,,,,,,,,,,,7.74,2009,Religion
835,,,Prophet Muhammad and Women,,,,,,,,,,,,,,,,,4.78,2007,Religion
836,,,We Need to Talk About Islam,,,,,,,,,,,,,,,,,7.37,2015,Religion
837,,,Scientology: The Ex-Files,,,,,,,,,,,,,,,,,8.20,2010,Religion
838,,,The Secret Family of Jesus,,,,,,,,,,,,,,,,,7.13,2006,Religion
839,,,Losing God,,,,,,,,,,,,,,,,,7.81,2013,Religion
840,,,Christian Dilemmas,,,,,,,,,,,,,,,,,7.11,2012,Religion
841,,,Caesar's Messiah,,,,,,,,,,,,,,,,,8.06,2012,Religion
842,,,The Yogis of Tibet,,,,,,,,,,,,,,,,,8.51,2002,Religion
843,,,The Lord is Not on Trial Here Today,,,,,,,,,,,,,,,,,8.68,2010,Religion
844,,,The Hidden Faith of the Founding Fathers,,,,,,,,,,,,,,,,,6.39,2005,Religion
845,,,Evolution Vs. God,,,,,,,,,,,,,,,,,3.75,2013,Religion
846,,,Deborah 13: Servant of God,,,,,,,,,,,,,,,,,7.40,2009,Religion
847,,,My Brother the Islamist,,,,,,,,,,,,,,,,,7.53,2011,Religion
848,,,Belief and Fear of Death,,,,,,,,,,,,,,,,,7.52,2012,Religion
849,,,Bob Dutko: Why He Fails,,,,,,,,,,,,,,,,,5.96,2013,Religion
850,,,Giants of the Bible,,,,,,,,,,,,,,,,,5.20,2010,Religion
851,,,Rastamentary,,,,,,,,,,,,,,,,,7.43,2012,Religion
852,,,"Inner Worlds, Outer Worlds",,,,,,,,,,,,,,,,,8.40,2012,Religion
853,,,"Varanasi, India: Beyond",,,,,,,,,,,,,,,,,8.44,2012,Religion
854,,,Mysteries of Mary Magdalene,,,,,,,,,,,,,,,,,7.00,2011,Religion
855,,,What the Bible Got Wrong: A Flat Earth,,,,,,,,,,,,,,,,,6.31,2011,Religion
856,,,Top Ten (Failed) Proofs for God's Existence,,,,,,,,,,,,,,,,,6.45,2011,Religion
857,,,The Missing Years of Jesus,,,,,,,,,,,,,,,,,6.43,2011,Religion
858,,,Brainwashed by the Westboro Baptist Church,,,,,,,,,,,,,,,,,6.72,2012,Religion
859,,,In God We Teach,,,,,,,,,,,,,,,,,8.61,2011,Religion
860,,,Prostitutes of God,,,,,,,,,,,,,,,,,6.82,2011,Religion
861,,,Unmistaken Child,,,,441,"$306,140",6,"$6,293",1,"Jun 3, 2009",Oscilloscope,,,,,,,7.92,2009,Religion
862,,,The Lost Gospels,,,,,,,,,,,,,,,,,8.04,2008,Religion
863,,,Riddles of the Bible,,,,,,,,,,,,,,,,,5.24,2010,Religion
864,,,The Bible Unearthed,,,,,,,,,,,,,,,,,6.57,2005,Religion
865,,,A History of Christianity,,,,,,,,,,,,,,,,,6.76,2011,Religion
866,,,The Thinking Atheist,,,,,,,,,,,,,,,,,8.51,2009,Religion
867,,,The Life of Muhammad,,,,,,,,,,,,,,,,,6.58,2011,Religion
868,,,A Lamp in the Dark: The Untold History of the Bible,,,,,,,,,,,,,,,,,7.02,2010,Religion
869,,,All God's Children,,,,,,,,,,,,,,,,,7.05,2008,Religion
870,,,Secrets of the Koran,,,,,,,,,,,,,,,,,7.53,2006,Religion
871,,,Derren Brown: Miracles for Sale,,,,,,,,,,,,,,,,,6.60,2011,Religion
872,,,Secret Files of the Inquisition,,,,,,,,,,,,,,,,,7.63,2007,Religion
873,,,Devil's Bible,,,,,,,,,,,,,,,,,6.99,2008,Religion
874,,,Around the World in 80 Faiths,,,,,,,,,,,,,,,,,7.11,2009,Religion
875,,,Inside New Zealand: How to Spot a Cult,,,,,,,,,,,,,,,,,6.74,2009,Religion
876,,,Why I Am No Longer a Christian,,,,,,,,,,,,,,,,,7.55,2009,Religion
877,,,Clash of the Gods,,,,,,,,,,,,,,,,,7.11,2009,Religion
878,,,The Third Jihad,,,,,,,,,,,,,,,,,8.66,2008,Religion
879,,,Pagans,,,,,,,,,,,,,,,,,6.38,,Religion
880,,,The Big Silence,,,,,,,,,,,,,,,,,7.49,2010,Religion
881,,,The Buddha,,,,,,,,,,,,,,,,,7.92,,Religion
882,,,The History of Angels,,,,,,,,,,,,,,,,,6.12,,Religion
883,,,The History of the Devil,,,,,,,,,,,,,,,,,8.04,2007,Religion
884,,,Cults: Dangerous Devotion,,,,,,,,,,,,,,,,,7.40,,Religion
885,,,The Secrets of Scientology,,,,,,,,,,,,,,,,,8.99,2010,Religion
886,,,The Zen Mind,,,,,,,,,,,,,,,,,8.05,2005,Religion
887,,,Collision: Christopher Hitchens vs. Douglas Wilson,,,,,,,,,,,,,,,,,7.90,2009,Religion
888,,,The Story of Lord Buddha,,,,,,,,,,,,,,,,,7.63,,Religion
889,,,Finger of God,,,,,,,,,,,,,,,,,6.09,2007,Religion
890,,,Did Jesus Die?,,,,,,,,,,,,,,,,,6.80,,Religion
891,,,The Lost Gods,,,,,,,,,,,,,,,,,5.80,,Religion
892,,,The Protestant Revolution,,,,,,,,,,,,,,,,,6.27,,Religion
893,663,2007,For the Bible Tells Me So,"$318,584","$312,751","$5,833",429,"$312,751",15,"$7,412",1,"Oct 5, 2007",First Run,,,,,,,8.23,2007,Religion
894,,,Banned from the Bible,,,,,,,,,,,,,,,,,6.70,2003,Religion
895,,,The Bible's Buried Secrets,,,,,,,,,,,,,,,,,6.21,2008,Religion
896,,,Return to Africa's Witch Children,,,,,,,,,,,,,,,,,8.98,2009,Religion
897,,,The Muslim Jesus,,,,,,,,,,,,,,,,,6.71,,Religion
898,,,The Four Horsemen,,,,,,,,,,,,,,,,,8.72,2007,Religion
899,,,Inside Mecca,,,,,,,,,,,,,,,,,6.00,,Religion
900,,,The Arrivals,,,,,,,,,,,,,,,,,7.98,,Religion
901,,,Amongst White Clouds,,,,,,,,,,,,,,,,,8.48,,Religion
902,,,Scientology: Inside the Cult,,,,,,,,,,,,,,,,,7.39,1995,Religion
903,,,Mysteries of the Bible,,,,,,,,,,,,,,,,,6.02,,Religion
904,,,Louis Theroux: Fundamentalist Christianity,,,,,,,,,,,,,,,,,7.04,2007,Religion
905,,,Scientology And Me,,,,,,,,,,,,,,,,,8.64,,Religion
906,,,The Hidden Story of Jesus,,,,,,,,,,,,,,,,,6.83,2007,Religion
907,,,The Most Hated Family in America,,,,,,,,,,,,,,,,,7.99,2007,Religion
908,,,Satan: Prince of Darkness,,,,,,,,,,,,,,,,,6.88,1998,Religion
909,,,A History of God,,,,,,,,,,,,,,,,,6.98,,Religion
910,,,Muhammad: Legacy of a Prophet,,,,,,,,,,,,,,,,,6.59,2002,Religion
911,,,Undercover Mosque,,,,,,,,,,,,,,,,,7.17,,Religion
912,,,The Root of All Evil?,,,,,,,,,,,,,,,,,8.71,2006,Religion
913,,,Light at the Edge of the World: Science of the Mind,,,,,,,,,,,,,,,,,8.34,2007,Religion
914,,,The Life of Buddha,,,,,,,,,,,,,,,,,7.77,,Religion
915,,,The Tibetan Book of the Dead: A Way of Life,,,,,,,,,,,,,,,,,7.37,1994,Religion
916,,,Tibet: A Buddhist Trilogy,,,,"1,085","$47,243",8,"$6,596",8,"Mar 31, 2006",Thread Cross Films,,,,,,,6.23,1984,Religion
917,,,God's Next Army,,,,,,,,,,,,,,,,,6.29,2006,Religion
918,75,2008,Religulous,"$13,881,317","$13,011,160","$870,157",30,"$13,011,160",568,"$3,409,643",502,"Oct 1, 2008",Lionsgate,7.6,,"57,066",1h 41min,3 October 2008 (USA),Larry Charles,8.50,2008,Religion
919,,,Malcolm X: Prince of Islam,,,,,,,,,,,,,,,,,5.33,,Religion
920,,,The Naked Truth,,,,,,,,,,,,,,,,,7.71,,Religion
921,117,2008,Expelled: No Intelligence Allowed,"$7,720,487","$7,720,487",,40,"$7,720,487","1,052","$2,970,848","1,052","Apr 18, 2008",Rocky Mountain Pictures,,,,,,,6.76,,Religion
922,,,Zeitgeist Refuted,,,,,,,,,,,,,,,,,5.26,2010,Religion
923,,,Into Great Silence,,,,251,"$790,452",19,"$11,355",1,"Feb 28, 2007",Zeitgeist Films,,,,,,,7.71,,Religion
924,,,The Case for Christ,,,,,,,,,,,,,,,,,6.76,2007,Religion
925,,,Islam: What the West Needs to Know,,,,"1,369","$22,938",3,"$12,184",3,"Jul 7, 2006",Quixotic Media,,,,,,,8.25,2006,Religion
926,852,2006,Deliver Us From Evil,"$201,275","$201,275",,,,,,,,,,,,,,,8.43,2006,Religion
927,305,2006,Jesus Camp,"$1,394,989","$902,544","$492,445",228,"$902,544",52,"$17,659",13,"Sep 15, 2006",Magnolia Pictures,7.4,62.0,"26,174",1h 27min,22 December 2006 (Canada),Heidi Ewing,6.83,2006,Religion
928,,,The God Who Wasn't There,,,,,,,,,,,,,,,,,7.79,2005,Religion
929,,,Alone in the Past,,,,,,,,,,,,,,,,,6.51,2017,Psychology
930,,,The Greater Good,,,,,,,,,,,,,,,,,7.64,2017,Psychology
931,,,Reasons to Believe,,,,,,,,,,,,,,,,,6.44,2017,Psychology
932,,,Rule from the Shadows: The Psychology of Power,,,,,,,,,,,,,,,,,8.57,2014,Psychology
933,,,Aftermath: The Legacy of Suicide,,,,,,,,,,,,,,,,,6.86,2001,Psychology
934,,,A Virus Called Fear,,,,,,,,,,,,,,,,,6.99,2012,Psychology
935,,,Mystical Brain,,,,,,,,,,,,,,,,,7.35,2006,Psychology
936,,,I Am Fishead: Are Corporate Leaders Psychopaths?,,,,,,,,,,,,,,,,,8.29,2011,Psychology
937,,,Reality and the Extended Mind,,,,,,,,,,,,,,,,,7.31,2011,Psychology
938,,,Beyond Thought,,,,,,,,,,,,,,,,,7.82,2011,Psychology
939,,,Anima,,,,,,,,,,,,,,,,,7.42,2011,Psychology
940,,,Secrets of Body Language,,,,,,,,,,,,,,,,,7.69,2008,Psychology
941,,,Biology of Dads,,,,,,,,,,,,,,,,,7.84,2010,Psychology
942,,,The Secret Life of the Brain,,,,,,,,,,,,,,,,,7.71,2002,Psychology
943,,,Are You Good or Evil?,,,,,,,,,,,,,,,,,6.55,2011,Psychology
944,,,Batman Unmasked: The Psychology of the Dark Knight,,,,,,,,,,,,,,,,,8.12,2008,Psychology
945,,,Stephen Fry: The Secret Life of the Manic Depressive,,,,,,,,,,,,,,,,,8.15,2008,Psychology
946,,,The Brain: A Secret History,,,,,,,,,,,,,,,,,8.03,2011,Psychology
947,,,Beautiful Minds: The Psychology of the Savant,,,,,,,,,,,,,,,,,8.34,2006,Psychology
948,,,Discovering Psychology,,,,,,,,,,,,,,,,,8.22,1990,Psychology
949,,,How To Sleep Better?,,,,,,,,,,,,,,,,,6.35,2005,Psychology
950,,,Quantum Communication,,,,,,,,,,,,,,,,,6.25,,Psychology
951,,,Kim Peek: The Real Rain Man,,,,,,,,,,,,,,,,,8.11,2006,Psychology
952,,,Multiple Personalities,,,,,,,,,,,,,,,,,7.23,,Psychology
953,,,Psychiatry: An Industry of Death,,,,,,,,,,,,,,,,,5.56,2006,Psychology
954,,,"I, Psychopath",,,,,,,,,,,,,,,,,6.51,2009,Psychology
955,,,Phantoms in the Brain,,,,,,,,,,,,,,,,,8.14,2003,Psychology
956,,,My Brilliant Brain,,,,,,,,,,,,,,,,,7.91,,Psychology
957,,,The Human Mind,,,,,,,,,,,,,,,,,6.77,,Psychology
958,,,How Mad Are You?,,,,,,,,,,,,,,,,,6.97,2008,Psychology
959,,,To Catch a Predator,,,,,,,,,,,,,,,,,8.36,2004,Psychology
960,,,We Have Ways of Making You Talk,,,,,,,,,,,,,,,,,8.36,2005,Psychology
961,,,A Brilliant Madness: John Nash,,,,,,,,,,,,,,,,,7.95,,Psychology
962,,,"The Brain, Sensory Deprivation and Isolation",,,,,,,,,,,,,,,,,7.91,2008,Psychology
963,,,The Big Question: Why Am I Me?,,,,,,,,,,,,,,,,,6.82,,Psychology
964,,,Help Me To Speak,,,,,,,,,,,,,,,,,7.21,,Psychology
965,,,The Power of the Situation,,,,,,,,,,,,,,,,,7.11,1990,Psychology
966,,,The Boy With The Incredible Brain,,,,,,,,,,,,,,,,,8.11,2005,Psychology
967,,,Architects of Control: Mass Control and The Future of Mankind,,,,,,,,,,,,,,,,,7.71,,Psychology
968,,,Zen: The Best of Alan Watts,,,,,,,,,,,,,,,,,8.17,,Psychology
969,,,The Man Who Ate His Lover,,,,,,,,,,,,,,,,,6.67,2004,Psychology
970,,,Killing Us Softly 3: Advertising's Image of Women,,,,,,,,,,,,,,,,,7.23,1999,Psychology
971,,,"Tough Guise: Violence, Media and the Crisis in Masculinity",,,,,,,,,,,,,,,,,6.97,1999,Psychology
