,Title,User Rating_IMDB,Metacritic,Number of Votes_IMDB,Running Time,Release Date_IMDB,Director
279,How to Make Money Selling Drugs,7.6,69,"6,597",1h 36min,26 December 2013 (UK),Matthew Cooke
280,Inequality for All,8.1,68,"6,571",1h 29min,24 April 2015 (Norway),Jacob Kornbluth
281,Tabloid,7.0,74,"6,571",1h 27min,11 November 2011 (UK),Errol Morris
282,Red Army,7.6,83,"6,553",1h 24min,29 January 2015 (Germany),Gabe Polsky
283,The Invisible War,7.6,75,"6,541",1h 33min,20 January 2012 (USA),Kirby Dick
284,Chris Rock: Bigger & Blacker,8.0,N/A,"6,527",1h 5min,TV Special 10 July 1999,Keith Truesdell
285,In the Shadow of the Moon,8.0,84,"6,500",1h 40min,2 November 2007 (UK),David Sington
286,The True Cost,7.7,N/A,"6,498",1h 32min,29 May 2015 (USA),Andrew Morgan
287,America: Imagine the World Without Her,5.4,N/A,"6,481",1h 45min,2 July 2014 (USA),Dinesh D'Souza
288,Comedian,6.9,62,"6,474",1h 22min,July 2003 (Norway),Christian Charles
289,Inside Deep Throat,6.7,64,"6,445",1h 29min,21 April 2005 (Russia),Fenton Bailey
290,Whitney,7.3,75,"6,439",2h,5 July 2018 (UK),Kevin Macdonald
291,Get Me Roger Stone,7.4,75,"6,428",1h 32min,12 May 2017 (USA),Dylan Bank
292,The Unbelievers,6.9,N/A,"6,422",1h 17min,13 December 2013 (USA),Gus Holwerda
293,Bears,7.4,68,"6,404",1h 18min,18 April 2014 (USA),Alastair Fothergill
294,The Nightmare,5.8,68,"6,377",1h 31min,5 June 2015 (USA),Rodney Ascher
295,9/11,8.5,N/A,"6,333",1h 52min,TV Movie 10 March 2002,James Hanlon
296,Tarnation,7.1,87,"6,314",1h 28min,10 November 2004 (France),Jonathan Caouette
297,Burden of Dreams,7.9,N/A,"6,305",1h 35min,24 September 1982 (Sweden),Les Blank
298,Dark Days,7.8,75,"6,304",1h 22min,9 March 2001 (UK),Marc Singer
299,Death of a Nation,4.6,N/A,"6,272",1h 48min,3 August 2018 (USA),Dinesh D'Souza
300,Aileen: Life and Death of a Serial Killer,7.1,71,"6,272",1h 33min,21 November 2003 (UK),Nick Broomfield
301,Avicii: True Stories,7.6,N/A,"6,193",1h 37min,14 December 2018 (USA),Levan Tsikurishvili
302,The Pervert's Guide to Cinema,7.8,N/A,"6,169",2h 30min,16 January 2009 (USA),Sophie Fiennes
303,McQueen,7.8,84,"6,158",1h 51min,8 June 2018 (UK),Ian Bonhôte
304,TT3D: Closer to the Edge,8.0,76,"6,156",1h 44min,22 April 2011 (USA),Richard De Aragues
305,African Cats,7.6,61,"6,141",1h 29min,22 April 2011 (USA),Keith Scholey
306,The Pervert's Guide to Ideology,7.6,71,"6,136",2h 16min,1 November 2013 (USA),Sophie Fiennes
307,Outfoxed: Rupert Murdoch's War on Journalism,7.5,N/A,"6,076",1h 18min,13 July 2004 (USA),Robert Greenwald
308,The Celluloid Closet,7.8,N/A,"6,068",1h 42min,15 March 1996 (USA),Rob Epstein
309,Faces of Death,4.2,N/A,"6,065",1h 45min,10 November 1978 (USA),John Alan Schwartz
310,Leaving the Factory,6.9,N/A,"6,041",1min,22 March 1895 (France),Louis Lumière
311,Conan O'Brien Can't Stop,7.0,64,"6,020",1h 29min,18 August 2011 (Denmark),Rodman Flender
312,I Am Heath Ledger,7.4,68,"6,013",1h 30min,11 May 2017 (Australia),Adrian Buitenhuis
313,Crossing the Bridge: The Sound of Istanbul,7.9,73,"6,012",1h 30min,27 May 2005 (Turkey),Fatih Akin
314,An Evening with Kevin Smith,8.3,N/A,"5,995",3h 44min,Video 17 December 2002,J.M. Kenny
315,Die Geschichte vom weinenden Kamel,7.4,81,"5,992",1h 33min,16 July 2004 (USA),Byambasuren Davaa
316,Nitro Circus: The Movie,6.7,N/A,"5,967",1h 32min,8 August 2012 (USA),Gregg Godfrey
317,Beware the Slenderman,6.2,N/A,"5,965",1h 54min,26 August 2018 (Sweden),Irene Taylor Brodsky
318,Dig!,7.8,76,"5,949",1h 47min,13 April 2005 (France),Ondi Timoner
319,Homecoming: A Film by Beyoncé,7.4,N/A,"5,926",2h 17min,17 April 2019 (USA),Beyoncé
320,Foo Fighters: Back and Forth,8.3,N/A,"5,907",1h 41min,5 April 2011 (USA),James Moll
321,Where in the World Is Osama Bin Laden?,6.5,N/A,"5,875",1h 30min,9 May 2008 (UK),Morgan Spurlock
322,Spielberg,7.7,N/A,"5,871",2h 27min,TV Movie 7 October 2017,Susan Lacy
323,Terms and Conditions May Apply,7.3,68,"5,863",1h 19min,12 July 2013 (USA),Cullen Hoback
324,Chimpanzee,7.2,N/A,"5,851",1h 18min,20 April 2012 (USA),Alastair Fothergill
325,The Hunting Ground,7.4,77,"5,829",1h 43min,1 January 2016 (Belgium),Kirby Dick
326,The Gleaners & I,7.7,83,"5,822",1h 22min,7 July 2000 (France),Agnès Varda
327,Best of Enemies,7.6,77,"5,810",1h 27min,31 July 2015 (USA),Robert Gordon
328,The Pixar Story,7.8,N/A,"5,776",1h 27min,28 August 2007 (USA),Leslie Iwerks
329,Steve Jobs: The Man in the Machine,6.9,72,"5,754",2h 8min,4 September 2015 (USA),Alex Gibney
330,Marina Abramovic: The Artist Is Present,7.9,74,"5,738",1h 46min,5 July 2012 (Russia),Matthew Akers
331,Athlete A,7.7,85,"5,732",1h 43min,24 June 2020 (USA),Bonni Cohen
332,Hitchcock/Truffaut,7.4,79,"5,711",1h 19min,31 March 2016 (Russia),Kent Jones
333,5 Broken Cameras,7.9,78,"5,701",1h 34min,2011 (Israel),Emad Burnat
334,Robin Williams Live on Broadway,8.5,N/A,"5,696",1h 39min,TV Special 14 July 2002,Marty Callner
335,Little Dieter Needs to Fly,8.0,N/A,"5,661",1h 20min,2 October 1998 (USA),Werner Herzog
336,Kevin Hart: Laugh at My Pain,7.4,N/A,"5,622",1h 29min,27 April 2012 (UK),Leslie Small
337,Audrie & Daisy,7.2,73,"5,618",1h 35min,23 September 2016 (USA),Bonni Cohen
338,Atari: Game Over,6.7,N/A,"5,618",1h 6min,20 November 2014 (USA),Zak Penn
339,Glee: The 3D Concert Movie,5.4,N/A,"5,615",1h 24min,12 August 2011 (USA),Kevin Tancharoen
340,U2: Rattle and Hum,7.6,N/A,"5,613",1h 39min,4 November 1988 (USA),Phil Joanou
341,One Day in September,7.8,82,"5,604",1h 34min,12 July 2001 (Germany),Kevin Macdonald
342,"Life, Animated",7.5,75,"5,570",1h 32min,20 October 2016 (Denmark),Roger Ross Williams
343,The Yes Men,6.9,68,"5,557",1h 23min,13 January 2005 (Netherlands),Dan Ollman
344,Maradona by Kusturica,6.7,N/A,"5,552",1h 30min,28 May 2008 (France),Emir Kusturica
345,Until the Light Takes Us,7.1,N/A,"5,545",1h 33min,12 August 2010 (Germany),Aaron Aites
346,The Filth and the Fury,7.7,82,"5,544",1h 48min,12 May 2000 (UK),Julien Temple
347,The 11th Hour,7.3,63,"5,543",1h 35min,10 October 2007 (Philippines),Leila Conners
348,One of Us,7.1,78,"5,532",1h 35min,20 October 2017 (USA),Heidi Ewing
349,Game of Thrones: The Last Watch,7.2,N/A,"5,518",1h 54min,TV Movie 26 May 2019,Jeanie Finlay
350,The Times of Harvey Milk,8.3,N/A,"5,518",1h 30min,20 September 1985 (Finland),Rob Epstein
351,Isle of Flowers,8.5,N/A,"5,480",13min,1989 (Brazil),Jorge Furtado
352,Good Hair,6.9,72,"5,440",1h 36min,23 October 2009 (USA),Jeff Stilson
353,Roundhay Garden Scene,7.3,N/A,"5,418",1min,14 October 1888 (UK),Louis Aimé Augustin Le Prince
354,George Carlin... It's Bad for Ya!,8.6,N/A,"5,403",1h 10min,TV Special 1 March 2008,Rocco Urbisci
355,The Gatekeepers,7.6,91,"5,400",1h 41min,14 March 2013 (Singapore),Dror Moreh
356,Gates of Heaven,7.4,N/A,"5,393",1h 25min,October 1978 (USA),Errol Morris
357,Sarah Silverman: Jesus Is Magic,6.5,63,"5,386",1h 12min,9 December 2005 (USA),Liam Lynch
358,Demon House,5.2,N/A,"5,377",1h 35min,16 December 2019 (USA),Zak Bagans
359,Naqoyqatsi,6.6,N/A,"5,369",1h 29min,21 January 2003 (Czech Republic),Godfrey Reggio
360,Let It Be,7.8,N/A,"5,361",1h 21min,20 May 1970 (UK),Michael Lindsay-Hogg
361,The U.S. vs. John Lennon,7.3,64,"5,351",1h 39min,7 December 2006 (Netherlands),David Leaf
362,Andre the Giant,7.8,N/A,"5,332",1h 25min,TV Movie 10 April 2018,Jason Hehir
363,Fire at Sea,6.7,87,"5,333",1h 54min,18 February 2016 (Italy),Gianfranco Rosi
364,Darwin's Nightmare,7.5,84,"5,329",1h 47min,21 January 2005 (Austria),Hubert Sauper
365,Video Games: The Movie,6.1,N/A,"5,322",1h 41min,18 July 2014 (USA),Jeremy Snead
366,The Original Kings of Comedy,6.9,73,"5,317",1h 55min,18 August 2000 (USA),Spike Lee
367,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",7.5,78,"5,293",1h 31min,14 January 2000 (USA),Errol Morris
368,Have a Good Trip: Adventures in Psychedelics,6.8,N/A,"5,279",1h 25min,11 May 2020 (USA),Donick Cary
369,The Seven Five,7.6,69,"5,267",1h 44min,8 May 2015 (USA),Tiller Russell
370,Lektionen in Finsternis,8.0,N/A,"5,254",54min,26 October 2002 (Hong Kong),Werner Herzog
371,Comedy Central Roast of Charlie Sheen,7.7,N/A,"5,241",1h 30min,TV Special 19 September 2011,Joel Gallen
372,Hearts and Minds,8.2,68,"5,233",1h 52min,17 November 1975 (Sweden),Peter Davis
373,Fyre Fraud,6.8,N/A,"5,181",1h 36min,14 January 2019 (USA),Jenner Furst
374,Adolf Hitler: The Greatest Story Never Told,7.5,N/A,"5,170",5h 50min,27 January 2013 (USA),Dennis Wise
375,Hail Satan?,7.3,76,"5,169",1h 35min,17 April 2019 (USA),Penny Lane
376,Iron Maiden: Flight 666,8.3,N/A,"5,155",1h 52min,21 April 2009 (USA),Sam Dunn
377,The House I Live In,7.9,77,"5,147",1h 48min,5 October 2012 (USA),Eugene Jarecki
378,Period. End of Sentence.,7.4,N/A,"5,142",26min,12 February 2019 (USA),Rayka Zehtabchi
379,Bill Cunningham New York,7.9,76,"5,134",1h 24min,16 March 2011 (USA),Richard Press
380,A Brief History of Time,7.3,78,"5,128",1h 20min,16 October 1992 (Australia),Errol Morris
381,Las Hurdes,7.4,N/A,"5,119",30min,December 1933 (Spain),Luis Buñuel
382,The Yes Men Fix the World,7.6,71,"5,094",1h 27min,7 August 2009 (UK),Andy Bichlbaum
383,My Octopus Teacher,8.5,N/A,"5,106",1h 25min,7 September 2020 (USA),Pippa Ehrlich
384,More Than a Game,7.6,N/A,"5,073",1h 45min,16 October 2009 (Taiwan),Kristopher Belman
385,"Electric Boogaloo: The Wild, Untold Story of Cannon Films",7.4,N/A,"5,058",1h 46min,5 June 2015 (UK),Mark Hartley
386,The Endless Summer,7.7,N/A,"5,046",1h 35min,18 February 1965 (Australia),Bruce Brown
387,Holy Hell,7.0,64,"5,041",1h 40min,27 May 2016 (USA),Will Allen
388,HyperNormalisation,8.3,N/A,"5,034",2h 46min,16 October 2016 (UK),Adam Curtis
389,"Bikram: Yogi, Guru, Predator",6.7,68,"5,024",1h 26min,20 November 2019 (USA),Eva Orner
390,Long Shot,7.4,N/A,"5,023",40min,TV Short 29 September 2017,Jacob LaMendola
391,Control Room,7.6,79,"5,001",1h 24min,18 June 2004 (USA),Jehane Noujaim
392,For All Mankind,8.2,79,"4,998",1h 20min,19 May 1989 (USA),Al Reinert
393,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,7.6,86,"4,988",2h 22min,12 June 2019 (USA),Martin Scorsese
394,Chris Rock: Never Scared,8.1,N/A,"4,980",1h 20min,TV Special 17 April 2004,Joel Gallen
395,David Lynch: The Art Life,7.2,75,"4,951",1h 28min,20 April 2017 (Denmark),Rick Barnes
396,Jonestown: The Life and Death of Peoples Temple,7.8,79,"4,951",1h 26min,26 April 2006 (USA),Stanley Nelson
397,Valley Uprising,8.1,N/A,"4,947",1h 43min,1 September 2014 (USA),Peter Mortimer
398,Ghosts of the Abyss,6.8,67,"4,935",1h 1min,10 September 2003 (France),James Cameron
399,Team Foxcatcher,7.3,N/A,"4,932",1h 30min,29 April 2016 (USA),Jon Greenhalgh
400,Becoming,6.8,66,"4,928",1h 29min,6 May 2020 (USA),Nadia Hallgren
401,The Biggest Little Farm,8.1,73,"4,915",1h 31min,10 May 2019 (USA),John Chester
402,Janis: Little Girl Blue,7.4,74,"4,908",1h 43min,15 December 2015 (USA),Amy Berg
403,Gimme Danger,7.2,72,"4,879",1h 48min,5 August 2016 (Norway),Jim Jarmusch
404,Nostalgia for the Light,7.6,91,"4,875",1h 30min,17 March 2011 (USA),Patricio Guzmán
405,Harlan County U.S.A.,8.3,80,"4,874",1h 43min,28 September 1977 (France),Barbara Kopple
406,The God Who Wasn't There,6.9,N/A,"4,869",1h 2min,6 June 2005 (USA),Brian Flemming
407,LA 92,8.2,66,"4,852",1h 54min,21 April 2017 (USA),Daniel Lindsay
408,My Winnipeg,7.6,84,"4,849",1h 20min,4 July 2008 (UK),Guy Maddin
409,Loose Change: Second Edition,7.2,N/A,"4,840",1h 22min,Video 11 December 2005,Dylan Avery
410,Roman Polanski: Wanted and Desired,7.2,78,"4,799",1h 39min,11 December 2008 (Greece),Marina Zenovich
411,De Palma,7.4,83,"4,794",1h 50min,23 September 2016 (UK),Noah Baumbach
412,In film nist,7.4,90,"4,785",1h 15min,29 February 2012 (USA),Mojtaba Mirtahmasb
413,Betting on Zero,7.2,72,"4,759",1h 39min,17 March 2017 (USA),Ted Braun
414,Sharkwater,8.0,N/A,"4,759",1h 29min,2 November 2007 (USA),Rob Stewart
415,Casting JonBenet,6.1,74,"4,749",1h 20min,28 April 2017 (USA),Kitty Green
416,American: The Bill Hicks Story,7.8,N/A,"4,740",1h 42min,8 April 2011 (USA),Matt Harlock
417,The Kingdom of Dreams and Madness,7.8,75,"4,727",1h 58min,16 November 2013 (Japan),Mami Sunada
418,Shut Up & Sing,7.6,77,"4,710",1h 33min,1 December 2006 (USA),Barbara Kopple
419,Trekkies,6.9,64,"4,709",1h 26min,8 November 2002 (Hungary),Roger Nygard
420,Kumaré,7.5,N/A,"4,705",1h 24min,13 March 2011 (USA),Vikram Gandhi
421,AlphaGo,7.9,N/A,"4,698",1h 30min,29 September 2017 (USA),Greg Kohs
422,Twinsters,7.5,81,"4,660",1h 29min,17 July 2015 (USA),Samantha Futerman
423,Living on One Dollar,7.3,N/A,"4,657",56min,13 April 2013 (USA),Zach Ingrasci
424,Voyeur,6.2,N/A,"4,655",1h 35min,1 December 2017 (USA),Myles Kane
425,The Crash Reel,8.2,79,"4,649",1h 48min,4 October 2013 (UK),Lucy Walker
426,Pink Floyd: P. U. L. S. E. Live at Earls Court,9.3,N/A,"4,643",2h 25min,TV Special 2 August 1995,David Mallet
427,Salesman,7.8,80,"4,634",1h 31min,17 April 1969 (USA),Albert Maysles
428,Whores' Glory,7.2,73,"4,613",1h 50min,27 April 2012 (USA),Michael Glawogger
429,Winnebago Man,7.2,71,"4,581",1h 25min,14 March 2009 (USA),Ben Steinbauer
430,Food Matters,7.6,N/A,"4,580",1h 20min,N/A,James Colquhoun
431,That's Entertainment!,7.7,N/A,"4,574",2h 15min,21 June 1974 (USA),Jack Haley Jr.
432,Imagine: John Lennon,7.9,N/A,"4,540",1h 40min,7 October 1988 (USA),Andrew Solt
433,Biggie and Tupac,6.8,63,"4,536",1h 48min,24 May 2002 (UK),Nick Broomfield
434,My Date with Drew,6.4,N/A,"4,524",1h 30min,30 September 2005 (Norway),Jon Gunn
435,The Tillman Story,7.7,86,"4,514",1h 34min,23 January 2010 (USA),Amir Bar-Lev
436,Global Metal,7.9,N/A,"4,509",1h 33min,20 June 2008 (Canada),Sam Dunn
437,Roger Waters: The Wall,8.6,N/A,"4,506",2h 12min,29 September 2015 (USA),Sean Evans
438,John Wick: Kill Count,8.1,N/A,"4,505",3min,Video 13 June 2017,Josh Oreck
439,The Barkley Marathons: The Race That Eats Its Young,7.8,67,"4,489",1h 29min,1 October 2016 (Netherlands),Annika Iltis
440,The Summit,6.9,63,"4,483",1h 35min,22 November 2013 (Ireland),Nick Ryan
441,Artifact,8.1,N/A,"4,476",1h 43min,3 December 2013 (USA),Jared Leto
442,Bob Lazar: Area 51 & Flying Saucers,5.6,N/A,"4,475",1h 37min,4 December 2018 (USA),Jeremy Kenyon Lockyer Corbell
443,Cutie and the Boxer,7.2,83,"4,467",1h 22min,1 August 2013 (New Zealand),Zachary Heinzerling
444,The People vs. George Lucas,6.6,N/A,"4,458",1h 33min,29 August 2011 (USA),Alexandre O. Philippe
445,DMT: The Spirit Molecule,7.2,N/A,"4,447",1h 15min,1 September 2014 (Netherlands),Mitch Schultz
446,He Named Me Malala,6.9,61,"4,417",1h 28min,22 October 2015 (Germany),Davis Guggenheim
447,Jane,7.8,87,"4,416",1h 30min,24 November 2017 (Ireland),Brett Morgen
448,Wal-Mart: The High Cost of Low Price,6.8,71,"4,414",1h 38min,4 November 2005 (USA),Robert Greenwald
449,Richard Pryor: Live in Concert,8.2,N/A,"4,409",1h 18min,26 January 1979 (USA),Jeff Margolis
450,DC's Legends of Tomorrow: Their Time Is Now,7.1,N/A,"4,376",22min,TV Short 19 January 2016,Victor Garber
451,Vaxxed: From Cover-Up to Catastrophe,5.2,N/A,"4,370",1h 31min,6 April 2017 (Germany),Andrew Wakefield
452,Whitney: Can I Be Me,6.7,64,"4,365",1h 45min,18 August 2017 (USA),Nick Broomfield
453,Manufacturing Consent: Noam Chomsky and the Media,8.2,N/A,"4,355",2h 47min,6 November 1992 (Australia),Mark Achbar
454,Bridegroom,8.0,85,"4,354",1h 20min,19 November 2013 (USA),Linda Bloodworth-Thomason
455,Justin Bieber: All Around the World,1.6,N/A,"4,352",1h,TV Movie 21 June 2012,Russell Thomas
456,Sour Grapes,7.2,N/A,"4,348",1h 25min,16 September 2016 (UK),Reuben Atlas
457,SOMM,7.0,N/A,"4,341",1h 34min,21 June 2013 (Canada),Jason Wise
458,Riding Giants,7.9,80,"4,326",1h 45min,13 August 2004 (USA),Stacy Peralta
459,For the Bible Tells Me So,7.8,73,"4,321",1h 35min,5 October 2007 (USA),Daniel G. Karslake
460,Olympia Part One: Festival of the Nations,7.8,N/A,"4,295",1h 51min,8 March 1940 (USA),Leni Riefenstahl
461,The White Diamond,7.5,83,"4,286",1h 28min,10 March 2005 (Germany),Werner Herzog
462,Mistaken for Strangers,7.3,72,"4,282",1h 15min,28 March 2014 (USA),Tom Berninger
463,The Propaganda Game,6.8,N/A,"4,278",1h 38min,30 October 2015 (Spain),Álvaro Longoria
464,Blue Collar Comedy Tour: The Movie,7.1,70,"4,260",1h 45min,28 March 2003 (USA),C.B. Harding
465,One More Time with Feeling,8.3,92,"4,249",1h 53min,8 September 2016 (USA),Andrew Dominik
466,V luchakh solntsa,7.4,81,"4,246",1h 46min,12 April 2016 (Latvia),Vitaliy Manskiy
467,There's Something Wrong with Aunt Diane,6.7,N/A,"4,245",1h 41min,TV Movie 25 July 2011,Liz Garbus
468,The Weight of Chains,8.2,N/A,"4,217",2h 5min,19 February 2011 (Canada),Boris Malagurski
469,One Child Nation,7.5,85,"4,215",1h 28min,9 August 2019 (USA),Nanfu Wang
470,Take Your Pills,6.4,N/A,"4,213",1h 27min,16 March 2018 (USA),Alison Klayman
471,The Age of Stupid,7.0,N/A,"4,212",1h 32min,20 August 2009 (New Zealand),Franny Armstrong
472,The Most Hated Family in America,8.0,N/A,"4,209",1h,TV Movie 1 April 2007,Geoffrey O'Connor
473,Voyage of Time: Life's Journey,6.4,68,"4,199",1h 30min,4 May 2017 (France),Terrence Malick
474,The Death of Superman Lives: What Happened?,7.1,N/A,"4,181",1h 44min,9 July 2015 (USA),Jon Schnepp
475,Ai Weiwei: Never Sorry,7.6,81,"4,181",1h 31min,14 June 2012 (Germany),Alison Klayman
476,Dirty Sanchez: The Movie,6.1,N/A,"4,181",1h 34min,22 September 2006 (UK),Jim Hickey
477,Shirkers,7.4,88,"4,178",1h 37min,26 October 2018 (USA),Sandi Tan
478,Fuck,7.0,N/A,"4,164",1h 33min,10 November 2007 (Japan),Steve Anderson
479,George Carlin: Life Is Worth Losing,8.3,N/A,"4,164",1h 15min,TV Special 5 November 2005,Rocco Urbisci
480,Iris,7.2,80,"4,142",1h 19min,29 April 2015 (USA),Albert Maysles
481,Conor McGregor: Notorious,7.2,N/A,"4,131",1h 30min,8 November 2017 (USA),Gavin Fitzgerald
482,Hubble 3D,7.7,79,"4,125",45min,19 March 2010 (USA),Toni Myers
483,Overnight,7.1,N/A,"4,121",1h 22min,8 July 2005 (UK),Tony Montana
484,They'll Love Me When I'm Dead,7.4,77,"4,111",1h 38min,2 November 2018 (USA),Morgan Neville
485,John Wick: The Assassin's Code,8.4,N/A,"4,105",5min,3 February 2015 (USA),Josh Oreck
486,Never Sleep Again: The Elm Street Legacy,8.6,N/A,"4,096",3h 59min,Video 4 May 2010,Daniel Farrands
487,Rush: Beyond the Lighted Stage,8.4,N/A,"4,091",1h 47min,24 April 2010 (USA),Sam Dunn
488,Chasing Coral,8.1,86,"4,089",1h 33min,14 July 2017 (USA),Jeff Orlowski
489,Murder on a Sunday Morning,7.9,N/A,"4,075",1h 51min,26 February 2003 (France),Jean-Xavier de Lestrade
490,American Teen,6.4,66,"4,066",1h 35min,15 August 2008 (USA),Nanette Burstein
491,Metallica: S&M,8.8,N/A,"4,040",2h 25min,TV Special January 2000,Wayne Isham
492,Empire of Dreams: The Story of the 'Star Wars' Trilogy,8.3,N/A,"4,038",2h 31min,Video 20 September 2004,Edith Becker
493,The Last Lions,8.3,69,"3,991",1h 28min,18 February 2011 (USA),Dereck Joubert
494,"Chris Rock: Kill the Messenger - London, New York, Johannesburg",7.7,N/A,"3,985",1h 19min,TV Special 27 September 2008,Marty Callner
495,The House Is Black,7.9,N/A,"3,983",20min,1963 (Iran),Forugh Farrokhzad
496,Titicut Follies,7.7,N/A,"3,975",1h 24min,4 September 1992 (Australia),Frederick Wiseman
497,More Than Honey,7.6,70,"3,963",1h 35min,8 November 2012 (Germany),Markus Imhoof
498,War Photographer,8.0,79,"3,938",1h 36min,2001 (USA),Christian Frei
499,"Not Quite Hollywood: The Wild, Untold Story of Ozploitation!",7.7,76,"3,929",1h 43min,28 August 2008 (Australia),Mark Hartley
500,Day of the Fight,6.3,N/A,"3,927",16min,30 March 1951 (USA),Stanley Kubrick
501,The Witness,7.0,79,"3,917",1h 29min,3 June 2016 (USA),James D. Solomon
502,Ashes and Snow,8.2,N/A,"3,902",1h 2min,5 March 2005 (USA),Gregory Colbert
503,Back in Time,6.3,N/A,"3,893",1h 35min,21 October 2015 (USA),Jason Aron
504,The Wild and Wonderful Whites of West Virginia,7.1,N/A,"3,889",1h 26min,5 May 2010 (USA),Julien Nitzberg
505,The Atomic Cafe,7.6,N/A,"3,868",1h 26min,29 October 1982 (Finland),Jayne Loader
506,The Unknown Known,7.0,69,"3,865",1h 43min,16 January 2014 (Italy),Errol Morris
507,Journey to the Edge of the Universe,8.5,N/A,"3,857",1h 31min,TV Movie 7 December 2008,Yavar Abbas
508,Young@Heart,7.9,75,"3,842",1h 47min,23 May 2008 (USA),Stephen Walker
509,Welcome to Leith,7.0,78,"3,834",1h 25min,15 December 2015 (USA),Michael Beach Nichols
510,Hitman Hart: Wrestling with Shadows,8.1,N/A,"3,834",1h 33min,TV Movie 20 December 1998,Paul Jay
511,The Ambassador,7.3,67,"3,833",1h 37min,5 October 2011 (Denmark),Mads Brügger
512,"I Love You, Now Die: The Commonwealth v. Michelle Carter",7.5,N/A,"3,833",2h 23min,4 May 2019 (Canada),Erin Lee Carr
513,Michael Moore Hates America,4.9,N/A,"3,829",2h 5min,12 September 2004 (USA),Michael Wilson
514,Score,7.5,67,"3,819",1h 33min,5 September 2017 (USA),Matt Schrader
515,Berlin: Symphony of a Great City,7.6,N/A,"3,815",1h 5min,13 May 1928 (USA),Walter Ruttmann
516,Brother's Keeper,7.5,93,"3,812",1h 44min,9 September 1992 (USA),Joe Berlinger
517,Standard Operating Procedure,7.4,70,"3,804",1h 56min,29 May 2008 (Germany),Errol Morris
518,1,8.0,N/A,"3,788",1h 52min,1 October 2013 (USA),Paul Crowder
519,The War Room,7.3,78,"3,786",1h 36min,January 1994 (USA),Chris Hegedus
520,George Carlin: You Are All Diseased,8.6,N/A,"3,780",1h 5min,TV Special 6 February 1999,Rocco Urbisci
521,Uncle Tom,9.4,N/A,"3,775",1h 46min,19 June 2020 (USA),Justin Malone
522,À propos de Nice,7.4,N/A,"3,752",25min,28 May 1930 (France),Boris Kaufman
523,Tony Robbins: I Am Not Your Guru,6.7,N/A,"3,750",1h 55min,15 July 2016 (USA),Joe Berlinger
524,The Farthest,8.1,87,"3,748",2h 1min,11 August 2017 (USA),Emer Reynolds
525,The Atheist Delusion,3.4,N/A,"3,747",1h 2min,Video 29 July 2016,Ray Comfort
526,For the Love of Spock,7.6,74,"3,742",1h 51min,9 September 2016 (USA),Adam Nimoy
527,Monterey Pop,8.0,77,"3,740",1h 18min,23 April 1969 (France),D.A. Pennebaker
528,How to Survive a Plague,7.6,86,"3,738",1h 50min,8 November 2013 (UK),David France
529,Beastie Boys Story,7.8,74,"3,727",1h 59min,24 April 2020 (USA),Spike Jonze
530,Joe Strummer: The Future Is Unwritten,7.6,79,"3,721",2h 4min,18 May 2007 (Ireland),Julien Temple
531,Michael Moore in TrumpLand,5.6,N/A,"3,719",1h 13min,21 October 2016 (USA),Michael Moore
532,Craigslist Joe,6.8,N/A,"3,716",1h 30min,1 September 2014 (Netherlands),Joseph Garner
533,The Real Cancun,2.8,N/A,"3,704",1h 36min,25 April 2003 (USA),Rick de Oliveira
534,A Complete History of My Sexual Failures,6.2,N/A,"3,698",1h 30min,27 June 2008 (UK),Chris Waitt
535,Last Days in Vietnam,7.6,86,"3,676",1h 38min,17 January 2014 (USA),Rory Kennedy
536,Taylor Swift: Reputation Stadium Tour,8.3,N/A,"3,675",2h 5min,TV Special 31 December 2018,Paul Dugdale
537,Monkey Kingdom,7.3,72,"3,674",1h 21min,17 April 2015 (USA),Mark Linfield
538,Iverson,7.1,N/A,"3,671",1h 46min,27 April 2014 (USA),Zatella Beatty
539,Flying Padre,5.6,N/A,"3,663",9min,23 March 1951 (USA),Stanley Kubrick
540,Hot Coffee,7.5,N/A,"3,659",1h 28min,17 June 2011 (USA),Susan Saladoff
541,Maidentrip,7.5,70,"3,656",1h 22min,March 2013 (USA),Jillian Schlesinger
542,Korengal,6.8,67,"3,646",1h 24min,30 November 2015 (Japan),Sebastian Junger
543,Top Gear: The Perfect Road Trip,7.9,N/A,"3,639",1h 25min,TV Movie 14 July 2014,Phil Churchward
544,Generation Wealth,6.6,N/A,"3,638",1h 45min,20 July 2018 (USA),Lauren Greenfield
545,The Fluffy Movie: Unity Through Laughter,7.3,N/A,"3,629",1h 41min,1 September 2015 (Belgium),Manny Rodriguez
546,Kevin Hart: I'm a Grown Little Man,7.7,N/A,"3,627",1h 13min,TV Special 3 February 2009,Shannon Hartman
547,Mountain,7.2,82,"3,625",1h 14min,11 May 2018 (USA),Jennifer Peedom
548,Root of All Evil?,8.2,N/A,"3,605",1h 30min,TV Movie 9 January 2006,Russell Barnes
549,Fahrenhype 9/11,4.8,N/A,"3,604",1h 20min,Video 5 October 2004,Alan Peterson
550,Williams,7.6,N/A,"3,602",1h 49min,4 August 2017 (UK),Morgan Matthews
551,"Fast, Cheap & Out of Control",7.2,N/A,"3,599",1h 20min,3 October 1997 (USA),Errol Morris
