,Title,User Rating_IMDB,Metacritic,Number of Votes_IMDB,Running Time,Release Date_IMDB,Director
65,Room 237,6.2,80,"20,729",1h 42min,26 October 2012 (UK),Rodney Ascher
66,Cowspiracy: The Sustainability Secret,8.3,N/A,"20,695",1h 30min,15 September 2015 (Netherlands),Kip Andersen
67,Apollo 11,8.2,88,"20,346",1h 33min,1 March 2019 (Canada),Todd Douglas Miller
68,The Corporation,8.0,73,"20,290",2h 25min,4 June 2004 (USA),Mark Achbar
69,Amanda Knox,6.9,78,"20,258",1h 32min,30 September 2016 (USA),Rod Blackhurst
70,Indie Game: The Movie,7.6,73,"20,122",1h 43min,15 September 2012 (Taiwan),Lisanne Pajot
71,Jackass 2.5,6.4,N/A,"19,891",1h 4min,Video 19 December 2007,Jeff Tremaine
72,The Salt of the Earth,8.5,83,"19,345",1h 50min,27 March 2015 (USA),Juliano Ribeiro Salgado
73,The Great Hack,7.0,N/A,"18,776",1h 54min,24 July 2019 (USA),Karim Amer
74,Hearts of Darkness: A Filmmaker's Apocalypse,8.1,N/A,"18,690",1h 36min,6 December 1991 (UK),Fax Bahr
75,I Am Not Your Negro,7.9,95,"18,686",1h 33min,17 February 2017 (USA),Raoul Peck
76,Crumb,8.0,93,"18,236",1h 59min,28 April 1995 (USA),Terry Zwigoff
77,Jackass 3.5,6.7,N/A,"18,231",1h 24min,Video 1 April 2011,Jeff Tremaine
78,Eddie Murphy: Raw,7.7,N/A,"18,106",1h 33min,18 December 1987 (USA),Robert Townsend
79,Zeitgeist: Addendum,8.3,N/A,"17,731",2h 3min,Video 2 October 2008,Peter Joseph
80,Cartel Land,7.4,76,"17,671",1h 40min,3 July 2015 (USA),Matthew Heineman
81,Earthlings,8.7,N/A,"17,634",1h 35min,24 September 2005 (USA),Shaun Monson
82,Justin Bieber's Believe,1.7,N/A,"17,575",1h 32min,25 December 2013 (USA),Jon M. Chu
83,Zeitgeist: Moving Forward,8.1,N/A,"17,383",2h 41min,15 January 2011 (Brazil),Peter Joseph
84,Jonas Brothers: The 3D Concert Experience,1.6,N/A,"17,223",1h 16min,27 February 2009 (USA),Bruce Hendricks
85,Metallica: Some Kind of Monster,7.5,74,"17,196",1h 24min,September 2004 (USA),Joe Berlinger
86,O.J.: Made in America,8.9,N/A,"17,117",7h 47min,4 August 2016 (Spain),Ezra Edelman
87,Fahrenheit 11/9,7.0,69,"16,996",2h 8min,21 September 2018 (USA),Michael Moore
88,Encounters at the End of the World,7.7,80,"16,938",1h 39min,18 July 2008 (USA),Werner Herzog
89,Night and Fog,8.6,N/A,"16,844",32min,January 1956 (France),Alain Resnais
90,Enron: The Smartest Guys in the Room,7.6,N/A,"16,548",1h 50min,20 May 2005 (USA),Alex Gibney
91,American Movie,7.9,84,"16,538",1h 47min,13 April 2000 (Australia),Chris Smith
92,Buena Vista Social Club,7.7,81,"16,415",1h 45min,4 June 1999 (USA),Wim Wenders
93,American Factory,7.4,86,"16,216",1h 50min,21 August 2019 (USA),Steven Bognar
94,Tickled,7.6,76,"16,063",1h 32min,17 June 2016 (USA),David Farrier
95,Born Into Brothels: Calcutta's Red Light Kids,7.2,78,"16,015",1h 25min,11 March 2005 (USA),Zana Briski
96,The Last Waltz,8.2,88,"15,917",1h 57min,26 April 1978 (USA),Martin Scorsese
97,The Aristocrats,6.4,72,"15,909",1h 29min,2 September 2005 (USA),Penn Jillette
98,Woodstock,8.2,95,"15,763",3h 4min,26 March 1970 (USA),Michael Wadleigh
99,Into the Abyss,7.3,74,"15,641",1h 47min,30 March 2012 (UK),Werner Herzog
100,Hot Girls Wanted,6.1,N/A,"15,532",1h 24min,29 May 2015 (USA),Jill Bauer
101,Anvil: The Story of Anvil,7.9,82,"15,462",1h 20min,20 February 2009 (UK),Sacha Gervasi
102,The Internet's Own Boy: The Story of Aaron Swartz,8.0,72,"15,414",1h 45min,27 June 2014 (USA),Brian Knappenberger
103,Paradise Lost: The Child Murders at Robin Hood Hills,8.3,N/A,"14,993",2h 30min,10 June 1996 (USA),Joe Berlinger
104,Cave of Forgotten Dreams,7.4,86,"14,966",1h 30min,31 August 2011 (France),Werner Herzog
105,When We Were Kings,8.0,83,"14,951",1h 28min,14 February 1997 (USA),Leon Gast
106,The Game Changers,7.9,N/A,"14,830",1h 26min,16 September 2019 (USA),Louie Psihoyos
107,Life in a Day,7.7,N/A,"14,761",1h 35min,27 January 2011 (USA),Loressa Clisby
108,Taxi to the Dark Side,7.4,82,"14,728",1h 46min,23 January 2009 (Brazil),Alex Gibney
109,F for Fake,7.8,87,"14,722",1h 29min,12 March 1975 (France),Orson Welles
110,Life Itself,7.8,87,"14,711",2h 1min,4 July 2014 (USA),Steve James
111,Triumph of the Will,7.3,N/A,"14,649",1h 50min,28 March 1935 (Germany),Leni Riefenstahl
112,Meru,7.7,77,"14,634",1h 30min,14 August 2015 (USA),Jimmy Chin
113,John Wick Chapter 2: Wick-vizzed,7.8,N/A,"14,585",5min,Video 13 June 2017,Josh Oreck
114,The Greatest Movie Ever Sold,6.6,66,"14,536",1h 30min,24 August 2011 (Iceland),Morgan Spurlock
115,Abducted in Plain Sight,6.8,N/A,"14,475",1h 31min,15 January 2019 (USA),Skye Borgman
116,Pina,7.7,83,"14,318",1h 43min,24 February 2011 (Germany),Wim Wenders
117,Miss Americana,7.4,65,"14,267",1h 25min,31 January 2020 (USA),Lana Wilson
118,Earth,8.0,72,"14,137",1h 30min,22 April 2009 (USA),Alastair Fothergill
119,Ronaldo,6.4,N/A,"13,952",1h 32min,9 November 2015 (UK),Anthony Wonke
120,The Dawn Wall,8.1,81,"13,522",1h 40min,14 September 2018 (USA),Josh Lowell
121,TPB AFK: The Pirate Bay Away from Keyboard,7.5,N/A,"13,331",1h 25min,8 February 2013 (Sweden),Simon Klose
122,Katy Perry: Part of Me,5.9,N/A,"13,275",1h 33min,5 July 2012 (USA),Dan Cutforth
123,What the #$*! Do We (K)now!?,5.3,N/A,"13,142",1h 49min,22 October 2004 (USA),William Arntz
124,Monty Python Live at the Hollywood Bowl,7.9,N/A,"13,107",1h 17min,25 June 1982 (USA),Terry Hughes
125,Marley,8.0,82,"13,046",2h 24min,20 April 2012 (UK),Kevin Macdonald
126,Bigger Stronger Faster*,7.6,80,"13,042",1h 45min,19 January 2008 (USA),Chris Bell
127,Side by Side,7.6,82,"12,946",1h 39min,22 August 2012 (USA),Christopher Kenneally
128,Finding Vivian Maier,7.7,75,"12,904",1h 23min,17 April 2014 (Italy),John Maloof
129,Free to Play,7.9,N/A,"12,884",1h 15min,19 March 2014 (USA),Benedict Lim
130,Minimalism: A Documentary About the Important Things,6.7,N/A,"12,883",1h 18min,2016 (USA),Matt D'Avella
