,Rank_MOJO_by_Box_office,Title,Lifetime_Gross_MOJO,Max_Theaters,Opening_Box,Opening_Th,User_Rating_IMDB,Metacritic,Number_of_votes_IMDB,Release_Difference,CBS Films,Focus Features,IDP Distribution,IMAX,Lionsgate,National Geographic Entertainment,Neon,Other,Overture Films,Paramount Classics,Paramount Pictures,Sony Pictures Entertainment (SPE),United Artists,Walt Disney Studios Motion Pictures,Warner Bros.,Warner Independent Pictures (WIP)
478,1405,Cameraman: The Life and Work of Jack Cardiff,20840,3.0,1998.0,1.0,7.7,71.0,1152,10990.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
479,1423,Shoah,20175,1.0,2874.0,1.0,8.6,99.0,8281,10836.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
480,1435,Active Measures,19862,2.0,9509.0,2.0,7.9,68.0,7388,13657.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
481,1467,Dear Zachary: A Letter to a Son About His Father,18334,3.0,2886.0,1.0,8.5,82.0,32511,10066.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
482,1473,Casting By,18164,2.0,5649.0,2.0,7.6,70.0,1435,11893.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
483,1476,Holy Hell,18051,3.0,9238.0,3.0,7.0,64.0,5041,12831.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
484,1510,Genesis,16413,1.0,4891.0,1.0,7.1,74.0,1393,8813.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
485,1516,I Like Killing Flies,16214,2.0,5487.0,1.0,7.3,71.0,1146,9240.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
486,1549,The Farthest,14773,2.0,6900.0,2.0,8.1,87.0,3748,13272.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
487,1550,Last Men in Aleppo,14637,5.0,1505.0,1.0,7.4,80.0,2580,13174.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
488,1552,Armadillo,14566,1.0,3958.0,1.0,7.5,72.0,9216,10962.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
489,1565,Newtown,14109,3.0,6796.0,2.0,6.8,87.0,1621,12964.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
490,1567,Screwball,13967,13.0,8595.0,13.0,7.1,72.0,1129,13867.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
491,1573,Who the #$&% Is Jackson Pollock?,13710,2.0,5526.0,2.0,7.0,70.0,1175,9350.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
492,1584,Red Obsession,13199,3.0,5060.0,2.0,6.7,68.0,1224,11837.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
493,1590,K2: Siren of the Himalayas,12959,2.0,1421.0,2.0,7.2,63.0,927,12187.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
494,1593,Children Underground,12798,1.0,3075.0,1.0,8.3,85.0,2190,7467.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
495,1598,Of Fathers and Sons,12579,6.0,340.0,1.0,7.3,70.0,2075,13734.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
496,1608,Elstree 1976,12173,14.0,3270.0,14.0,5.9,66.0,1307,12810.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
497,1616,A Murder in the Park,12088,3.0,1310.0,1.0,7.3,70.0,1081,12495.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
498,1622,Minding the Gap,11998,5.0,6812.0,4.0,8.1,90.0,7388,13643.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
499,1635,My Voyage to Italy,11683,1.0,7117.0,1.0,8.2,90.0,2992,7502.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
500,1644,The Final Member,11428,10.0,2064.0,7.0,6.5,67.0,1110,12061.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
501,1679,Liv & Ingmar,10347,2.0,5451.0,2.0,7.4,74.0,1563,11935.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
502,1688,The Sunshine Makers,10042,7.0,1874.0,1.0,7.0,68.0,1248,13069.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
503,1695,Birth of the Living Dead,9802,10.0,1239.0,6.0,7.0,65.0,1542,11879.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
504,1726,Survivors Guide To Prison,8982,4.0,8982.0,4.0,7.1,66.0,995,13468.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
505,1742,Dreams of a Life,8405,1.0,3085.0,1.0,6.8,62.0,2938,11438.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
506,1750,We Are Twisted Fucking Sister!,8277,8.0,5804.0,6.0,7.1,65.0,1578,12733.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
507,1751,Silicon Cowboys,8239,12.0,5724.0,12.0,6.8,75.0,1861,12943.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
508,1758,The Other Side,8074,1.0,1246.0,1.0,6.7,65.0,1053,12824.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
509,1776,Last Days Here,7643,1.0,2671.0,1.0,7.5,71.0,1746,11284.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
510,1781,loudQUIETloud: A Film About the Pixies,7506,3.0,3792.0,3.0,7.2,63.0,1299,9303.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
511,1805,Los Angeles Plays Itself,6945,1.0,5005.0,1.0,8.0,86.0,2139,8510.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
512,1811,Steve McQueen: The Man & Le Mans,6843,2.0,4079.0,2.0,6.8,64.0,1380,12635.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
513,1841,The Work,5853,2.0,3286.0,2.0,7.8,84.0,1979,13349.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
514,1878,Street Fight,4779,2.0,3888.0,2.0,7.9,85.0,1892,9084.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
515,1903,McLibel,4337,3.0,1821.0,1.0,7.2,81.0,2057,8827.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
516,1926,In the Basement,3643,1.0,748.0,1.0,6.7,68.0,2390,12628.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
517,1927,Stop The Pounding Heart,3642,1.0,2363.0,1.0,6.7,70.0,927,12215.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
518,1953,Showrunners: The Art of Running a TV Show,3100,1.0,3100.0,1.0,6.7,68.0,1125,12257.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
519,1972,Knuckle,2647,3.0,2647.0,3.0,6.8,65.0,2693,11200.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
520,1986,You're Gonna Miss Me,2324,1.0,1340.0,1.0,7.6,64.0,988,9555.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
521,1991,Workingman's Death,2214,2.0,2214.0,2.0,8.0,67.0,1647,9086.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
522,1998,"Accidental Courtesy: Daryl Davis, Race & America",1940,1.0,1452.0,1.0,7.7,63.0,1019,13055.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
523,2027,Jason Becker: Not Dead Yet,1294,2.0,319.0,2.0,8.1,70.0,1138,11569.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
